time,x,y,longitude,latitude,cerra_sde,unit
2015-01-01,99000,1325500,9.84130480426889,61.8181540769436,0.6075,0
2015-01-01,104500,1331000,9.946215823184616,61.86521691470476,0.64916664,1
2015-01-01,110000,1331000,10.04859829242372,61.86392729619409,0.5545834,2
2015-01-01,115500,1331000,10.15097308316179,61.86257158655699,0.48833334,3
2015-01-01,93500,1336500,9.74381725071918,61.915875526948106,0.7579167,4
2015-01-01,104500,1336500,9.948884258163838,61.913491818206985,0.64916664,5
2015-01-01,110000,1336500,10.051406965665244,61.912200699791455,0.51166666,6
2015-01-01,115500,1336500,10.15392196305603,61.91084341347358,0.48833334,7
2015-01-01,88000,1342000,9.643527437849816,61.9652369748336,0.80541664,8
2015-01-01,93500,1342000,9.746211676993724,61.96414312400681,0.7625,9
2015-01-01,99000,1342000,9.84888933277268,61.96298301071997,0.6716667,10
2015-01-01,104500,1342000,9.951560018849955,61.96175664053426,0.48166665,11
2015-01-01,110000,1342000,10.054223349046335,61.96046401932794,0.46,12
2015-01-01,115500,1342000,10.156878937348818,61.95910515329606,0.45208332,13
2015-01-01,99000,1347500,9.85143141029024,62.01123913436032,0.56083333,14
2015-01-01,104500,1347500,9.954243135444663,62.01001133557868,0.48166665,15
2015-01-02,99000,1325500,9.84130480426889,61.8181540769436,0.62291664,0
2015-01-02,104500,1331000,9.946215823184616,61.86521691470476,0.6666667,1
2015-01-02,110000,1331000,10.04859829242372,61.86392729619409,0.56916666,2
2015-01-02,115500,1331000,10.15097308316179,61.86257158655699,0.49375,3
2015-01-02,93500,1336500,9.74381725071918,61.915875526948106,0.78041667,4
2015-01-02,104500,1336500,9.948884258163838,61.913491818206985,0.6666667,5
2015-01-02,110000,1336500,10.051406965665244,61.912200699791455,0.52,6
2015-01-02,115500,1336500,10.15392196305603,61.91084341347358,0.49375,7
2015-01-02,88000,1342000,9.643527437849816,61.9652369748336,0.83708334,8
2015-01-02,93500,1342000,9.746211676993724,61.96414312400681,0.78791666,9
2015-01-02,99000,1342000,9.84888933277268,61.96298301071997,0.69249994,10
2015-01-02,104500,1342000,9.951560018849955,61.96175664053426,0.49833333,11
2015-01-02,110000,1342000,10.054223349046335,61.96046401932794,0.46958336,12
2015-01-02,115500,1342000,10.156878937348818,61.95910515329606,0.46,13
