time,x,y,statkraft_sde,unit
2015-01-08,93500,1336500,1.5012030175430482,4
2015-01-08,104500,1336500,0.08217354779390362,5
2015-01-08,110000,1336500,0.0629884673477599,6
2015-01-08,115500,1336500,0.05848267899174033,7
2015-01-08,88000,1342000,0.8446738241140905,8
2015-01-08,93500,1342000,0.6625476786469537,9
2015-01-08,99000,1342000,0.13463887710204636,10
2015-01-08,104500,1342000,0.075155771443258,11
2015-01-08,110000,1342000,0.051671530147281416,12
2015-01-08,115500,1342000,0.06632640800767596,13
2015-01-08,99000,1347500,0.07138300045450613,14
2015-01-08,104500,1347500,0.05941172662641297,15
2015-01-09,99000,1325500,1.479078657526754,0
2015-01-09,104500,1331000,0.05591821423137493,1
2015-01-09,110000,1331000,0.025871498779972992,2
2015-01-09,115500,1331000,0.040019563332370583,3
2015-01-09,93500,1336500,1.4390165077258397,4
2015-01-09,104500,1336500,0.04592068872752898,5
2015-01-09,110000,1336500,0.03585559852956897,6
2015-01-09,115500,1336500,0.04293238844226914,7
2015-01-09,88000,1342000,0.7960577857030507,8
2015-01-09,93500,1342000,0.601861854096386,9
2015-01-09,99000,1342000,0.0959456431000373,10
2015-01-09,104500,1342000,0.04587796859665863,11
2015-01-09,110000,1342000,0.025847804098390482,12
2015-01-09,115500,1342000,0.06001869671099429,13
2015-01-09,99000,1347500,0.05294306941824467,14
2015-01-09,104500,1347500,0.035853491225628656,15
2015-01-10,99000,1325500,1.5946413704642213,0
2015-01-10,104500,1331000,0.10987985767122808,1
2015-01-10,110000,1331000,0.0622933425130841,2
2015-01-10,115500,1331000,0.07852439053648676,3
2015-01-10,93500,1336500,1.5396994677979035,4
2015-01-10,104500,1336500,0.10365942227603339,5
2015-01-10,110000,1336500,0.07526252204703499,6
2015-01-10,115500,1336500,0.08241667473784119,7
2015-01-10,88000,1342000,0.8941963645647933,8
2015-01-10,93500,1342000,0.6943455604260957,9
2015-01-10,99000,1342000,0.16482257994754976,10
2015-01-10,104500,1342000,0.0938773694505571,11
2015-01-10,110000,1342000,0.07052458915082241,12
2015-01-10,115500,1342000,0.10628629716984395,13
2015-01-10,99000,1347500,0.10475809263418376,14
2015-01-10,104500,1347500,0.08321609178179798,15
2015-01-11,99000,1325500,1.7323372770236107,0
2015-01-11,104500,1331000,0.24355625569259792,1
2015-01-11,110000,1331000,0.20807440727373205,2
2015-01-11,115500,1331000,0.2347267523842019,3
2015-01-11,93500,1336500,1.6718596258077956,4
2015-01-11,104500,1336500,0.24597427883826187,5
2015-01-11,110000,1336500,0.22092619930960783,6
2015-01-11,115500,1336500,0.227541766147432,7
2015-01-11,88000,1342000,1.0357528259963018,8
2015-01-11,93500,1342000,0.8480520745161867,9
2015-01-11,99000,1342000,0.31601348253471306,10
2015-01-11,104500,1342000,0.23853330182456062,11
2015-01-11,110000,1342000,0.21112269570648132,12
2015-01-11,115500,1342000,0.2562773349568633,13
2015-01-11,99000,1347500,0.25106874025440357,14
2015-01-11,104500,1347500,0.23230802333982647,15
2015-01-12,99000,1325500,1.9454002572025422,0
2015-01-12,104500,1331000,0.2894800646106177,1
2015-01-12,110000,1331000,0.23636508289263286,2
2015-01-12,115500,1331000,0.26434578610711645,3
2015-01-12,93500,1336500,1.8420740640870574,4
2015-01-12,104500,1336500,0.30327424729377583,5
2015-01-12,110000,1336500,0.2428839711341393,6
2015-01-12,115500,1336500,0.25752966980305375,7
2015-01-12,88000,1342000,1.184654257985729,8
2015-01-12,93500,1342000,0.9786255780975247,9
2015-01-12,99000,1342000,0.40009709353616607,10
2015-01-12,104500,1342000,0.282924092296555,11
2015-01-12,110000,1342000,0.24458208670206635,12
2015-01-12,115500,1342000,0.2995857948717625,13
2015-01-12,99000,1347500,0.28157581143043,14
2015-01-12,104500,1347500,0.27142796162883503,15
2015-01-13,99000,1325500,1.8974384550427459,0
2015-01-13,104500,1331000,0.24966429480879343,1
2015-01-13,110000,1331000,0.1928468705034395,2
2015-01-13,115500,1331000,0.23067286549062432,3
2015-01-13,93500,1336500,1.8091600838686286,4
2015-01-13,104500,1336500,0.27034054141439734,5
2015-01-13,110000,1336500,0.21857423012080368,6
2015-01-13,115500,1336500,0.2425017691265156,7
2015-01-13,88000,1342000,1.1601619640775962,8
2015-01-13,93500,1342000,0.960259011146651,9
2015-01-13,99000,1342000,0.3880520245054064,10
2015-01-13,104500,1342000,0.2722126971742852,11
2015-01-13,110000,1342000,0.22548917802248739,12
2015-01-13,115500,1342000,0.2943160121783464,13
2015-01-13,99000,1347500,0.27567979335702175,14
2015-01-13,104500,1347500,0.2647894989767855,15
2015-01-14,99000,1325500,1.7593201451338731,0
2015-01-14,104500,1331000,0.1868885665523957,1
2015-01-14,110000,1331000,0.13592202617141846,2
2015-01-14,115500,1331000,0.19456123462356287,3
2015-01-14,93500,1336500,1.705032958560696,4
2015-01-14,104500,1336500,0.21470767494855053,5
2015-01-14,110000,1336500,0.1782827712220282,6
2015-01-14,115500,1336500,0.21342180072497371,7
2015-01-14,88000,1342000,1.0854405407579764,8
2015-01-14,93500,1342000,0.8838385551340088,9
2015-01-14,99000,1342000,0.3321217678290739,10
2015-01-14,104500,1342000,0.23201351954257712,11
2015-01-14,110000,1342000,0.19305011486023954,12
2015-01-14,115500,1342000,0.2572227277496543,13
2015-01-14,99000,1347500,0.2395121130357907,14
2015-01-14,104500,1347500,0.24182326408981303,15
2015-01-15,99000,1325500,1.7829420679945969,0
2015-01-15,104500,1331000,0.19325450006977907,1
2015-01-15,110000,1331000,0.12820275889708027,2
2015-01-15,115500,1331000,0.18154262006610716,3
2015-01-15,93500,1336500,1.7430721580886006,4
2015-01-15,104500,1336500,0.23069678915741806,5
2015-01-15,110000,1336500,0.17655774648814473,6
2015-01-15,115500,1336500,0.200341476292747,7
2015-01-15,88000,1342000,1.1282189616600429,8
2015-01-15,93500,1342000,0.9223966059778484,9
2015-01-15,99000,1342000,0.3572624158765233,10
2015-01-15,104500,1342000,0.24648182914052327,11
2015-01-15,110000,1342000,0.18578299388737562,12
2015-01-15,115500,1342000,0.2475236274467831,13
2015-01-15,99000,1347500,0.23827033055620794,14
2015-01-15,104500,1347500,0.24339765401573293,15
2015-01-16,99000,1325500,1.845865809749759,0
2015-01-16,104500,1331000,0.20553831831061584,1
2015-01-16,110000,1331000,0.1174403825922122,2
2015-01-16,115500,1331000,0.15614146073094043,3
2015-01-16,93500,1336500,1.810676279639346,4
2015-01-16,104500,1336500,0.2474603889529737,5
2015-01-16,110000,1336500,0.16312665262643752,6
2015-01-16,115500,1336500,0.1688506759518084,7
2015-01-16,88000,1342000,1.1738335158455968,8
2015-01-16,93500,1342000,0.9725667890810042,9
2015-01-16,99000,1342000,0.39048262453384924,10
2015-01-16,104500,1342000,0.2554485747855759,11
2015-01-16,110000,1342000,0.16642783441993758,12
2015-01-16,115500,1342000,0.2259083789090339,13
2015-01-16,99000,1347500,0.2309162251930039,14
2015-01-16,104500,1347500,0.23005467697842027,15
2015-01-17,99000,1325500,2.023207104201621,0
2015-01-17,104500,1331000,0.24016919018362015,1
2015-01-17,110000,1331000,0.109943320166131,2
2015-01-17,115500,1331000,0.1349192565451925,3
2015-01-17,93500,1336500,1.9474969669059492,4
2015-01-17,104500,1336500,0.28455815086776015,5
2015-01-17,110000,1336500,0.1403189540125593,6
2015-01-17,115500,1336500,0.1290773037795921,7
2015-01-17,88000,1342000,1.2799656085667996,8
2015-01-17,93500,1342000,1.0689176570791334,9
